NTA,Borough,GardenCounts
South Jamaica,Queens,4.0
South Ozone Park,Queens,1.0
Springfield Gardens North,Queens,0.0
Springfield Gardens South-Brookville,Queens,0.0
St. Albans,Queens,3.0
Steinway,Queens,0.0
Whitestone,Queens,0.0
Woodhaven,Queens,0.0
Woodside,Queens,0.0
Annadale-Huguenot-Prince's Bay-Eltingville,Staten Island,0.0
Arden Heights,Staten Island,0.0
Charleston-Richmond Valley-Tottenville,Staten Island,0.0
Grasmere-Arrochar-Ft. Wadsworth,Staten Island,0.0
Great Kills,Staten Island,0.0
Grymes Hill-Clifton-Fox Hills,Staten Island,0.0
Mariner's Harbor-Arlington-Port Ivory-Graniteville,Staten Island,0.0
New Brighton-Silver Lake,Staten Island,0.0
New Dorp-Midland Beach,Staten Island,0.0
New Springville-Bloomfield-Travis,Staten Island,0.0
Oakwood-Oakwood Beach,Staten Island,0.0
Old Town-Dongan Hills-South Beach,Staten Island,0.0
park-cemetery-etc-Staten Island,Staten Island,0.0
Port Richmond,Staten Island,0.0
Rossville-Woodrow,Staten Island,0.0
Stapleton-Rosebank,Staten Island,0.0
Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,Staten Island,0.0
West New Brighton-New Brighton-St. George,Staten Island,3.0
Westerleigh,Staten Island,0.0
Allerton-Pelham Gardens,The Bronx,1.0
Bedford Park-Fordham North,The Bronx,3.0
Belmont,The Bronx,1.0
Bronxdale,The Bronx,0.0
Claremont-Bathgate,The Bronx,6.0
Co-op City,The Bronx,0.0
Crotona Park East,The Bronx,5.0
East Concourse-Concourse Village,The Bronx,9.0
East Tremont,The Bronx,13.0
Eastchester-Edenwald-Baychester,The Bronx,1.0
Fordham South,The Bronx,3.0
Highbridge,The Bronx,10.0
Hunts Point,The Bronx,3.0
Kingsbridge Heights,The Bronx,1.0
Longwood,The Bronx,3.0
Melrose South-Mott Haven North,The Bronx,15.0
Morrisania-Melrose,The Bronx,13.0
Mott Haven-Port Morris,The Bronx,8.0
Mount Hope,The Bronx,4.0
North Riverdale-Fieldston-Riverdale,The Bronx,0.0
Norwood,The Bronx,1.0
park-cemetery-etc-Bronx,The Bronx,1.0
Parkchester,The Bronx,1.0
Pelham Bay-Country Club-City Island,The Bronx,0.0
Pelham Parkway,The Bronx,0.0
Rikers Island,The Bronx,0.0
Schuylerville-Throgs Neck-Edgewater Park,The Bronx,0.0
Soundview-Bruckner,The Bronx,1.0
Soundview-Castle Hill-Clason Point-Harding Park,The Bronx,4.0
Spuyten Duyvil-Kingsbridge,The Bronx,1.0
University Heights-Morris Heights,The Bronx,4.0
Van Cortlandt Village,The Bronx,1.0
Van Nest-Morris Park-Westchester Square,The Bronx,0.0
West Concourse,The Bronx,0.0
West Farms-Bronx River,The Bronx,0.0
Westchester-Unionport,The Bronx,0.0
Williamsbridge-Olinville,The Bronx,1.0
Woodlawn-Wakefield,The Bronx,0.0
